epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T15.05.41.281;2.200;-0.092;0.388;1.550;-32.378;-81.402;1.341
1,73E+12;2024-09-28T15.05.41.291;2.210;-0.011;0.395;1.585;-38.476;-88.171;-3.598
1,73E+12;2024-09-28T15.05.41.301;2.220;0.078;0.416;1.603;-46.951;-79.451;-9.634
1,73E+12;2024-09-28T15.05.41.311;2.230;0.101;0.422;1.584;-58.841;-63.110;-10.854
1,73E+12;2024-09-28T15.05.41.321;2.240;0.083;0.421;1.539;-73.293;-50.671;-7.195
1,73E+12;2024-09-28T15.05.41.331;2.250;0.066;0.427;1.499;-89.390;-47.622;-1.890
1,73E+12;2024-09-28T15.05.41.341;2.260;0.058;0.432;1.484;-107.256;-57.378;3.780
1,73E+12;2024-09-28T15.05.41.351;2.270;0.064;0.428;1.484;-123.780;-80.305;7.744
1,73E+12;2024-09-28T15.05.41.361;2.280;0.072;0.405;1.464;-138.720;-108.049;9.695
1,73E+12;2024-09-28T15.05.41.371;2.290;0.104;0.365;1.474;-150.366;-128.537;12.866
1,73E+12;2024-09-28T15.05.41.381;2.300;0.184;0.331;1.510;-157.927;-133.049;17.439
1,73E+12;2024-09-28T15.05.41.391;2.310;0.275;0.311;1.545;-164.451;-118.232;21.585
1,73E+12;2024-09-28T15.05.41.401;2.320;0.339;0.307;1.521;-172.378;-93.415;25.976
1,73E+12;2024-09-28T15.05.41.411;2.330;0.349;0.301;1.457;-182.500;-70.549;31.768
1,73E+12;2024-09-28T15.05.41.421;2.340;0.311;0.275;1.368;-195.183;-55.549;40.305
1,73E+12;2024-09-28T15.05.41.431;2.350;0.282;0.234;1.283;-207.500;-52.683;49.451
1,73E+12;2024-09-28T15.05.41.441;2.360;0.301;0.195;1.227;-215.732;-64.512;52.500
1,73E+12;2024-09-28T15.05.41.451;2.370;0.307;0.154;1.180;-220.549;-81.890;49.939
1,73E+12;2024-09-28T15.05.41.461;2.380;0.299;0.100;1.149;-222.500;-93.171;50.183
1,73E+12;2024-09-28T15.05.41.471;2.390;0.321;0.051;1.106;-222.134;-94.268;55.244
1,73E+12;2024-09-28T15.05.41.481;2.400;0.361;0.019;1.039;-221.159;-84.390;59.878
1,73E+12;2024-09-28T15.05.41.491;2.410;0.395;-0.008;0.989;-220.427;-62.317;62.500
1,73E+12;2024-09-28T15.05.41.501;2.420;0.431;-0.024;0.962;-220.488;-28.232;66.098
1,73E+12;2024-09-28T15.05.41.511;2.430;0.491;-0.030;0.946;-221.707;13.476;71.463
1,73E+12;2024-09-28T15.05.41.521;2.440;0.543;-0.036;0.906;-224.085;57.073;75.976
