epoc (ms);timestamp (+0300);elapsed (s);acc_x;acc_y;acc_z;gyr_x;gyr_y;gyr_z
1,73E+12;2024-09-28T16.29.36.777;2.370;0.647;0.122;-0.925;-17.927;-488.659;-3.110
1,73E+12;2024-09-28T16.29.36.787;2.380;0.766;0.112;-0.943;-23.598;-467.866;-7.805
1,73E+12;2024-09-28T16.29.36.797;2.390;0.877;0.087;-0.933;-29.695;-407.866;-12.012
1,73E+12;2024-09-28T16.29.36.807;2.400;0.868;0.075;-0.914;-32.195;-321.585;-15.732
1,73E+12;2024-09-28T16.29.36.817;2.410;0.767;0.072;-0.913;-31.098;-229.268;-14.817
1,73E+12;2024-09-28T16.29.36.827;2.420;0.635;0.071;-0.929;-27.744;-152.378;-8.049
1,73E+12;2024-09-28T16.29.36.837;2.430;0.502;0.090;-0.963;-23.902;-105.549;0.915
1,73E+12;2024-09-28T16.29.36.847;2.440;0.461;0.107;-0.998;-22.012;-82.927;6.280
1,73E+12;2024-09-28T16.29.36.857;2.450;0.443;0.107;-1.014;-21.707;-75.610;8.354
1,73E+12;2024-09-28T16.29.36.867;2.460;0.407;0.119;-1.036;-21.220;-78.354;7.683
1,73E+12;2024-09-28T16.29.36.877;2.470;0.429;0.124;-1.060;-21.341;-82.195;3.841
1,73E+12;2024-09-28T16.29.36.887;2.480;0.487;0.124;-1.075;-21.220;-78.659;-0.732
1,73E+12;2024-09-28T16.29.36.897;2.490;0.521;0.115;-1.077;-20.366;-63.537;-3.780
1,73E+12;2024-09-28T16.29.36.907;2.500;0.504;0.109;-1.068;-18.171;-39.085;-4.573
1,73E+12;2024-09-28T16.29.36.917;2.510;0.469;0.103;-1.055;-14.939;-10.549;-2.256
1,73E+12;2024-09-28T16.29.36.927;2.520;0.389;0.107;-1.054;-9.817;10.915;3.049
1,73E+12;2024-09-28T16.29.36.937;2.530;0.319;0.123;-1.051;-5.244;16.707;8.841
1,73E+12;2024-09-28T16.29.36.947;2.540;0.328;0.132;-1.030;-2.439;9.451;11.951
1,73E+12;2024-09-28T16.29.36.957;2.550;0.370;0.140;-1.012;-0.671;-1.220;11.951
1,73E+12;2024-09-28T16.29.36.967;2.560;0.404;0.142;-0.999;0.183;-6.220;10.244
1,73E+12;2024-09-28T16.29.36.977;2.570;0.440;0.138;-0.979;0.427;-1.463;7.195
1,73E+12;2024-09-28T16.29.36.987;2.580;0.461;0.136;-0.958;0.427;13.963;4.085
1,73E+12;2024-09-28T16.29.36.997;2.590;0.452;0.129;-0.942;0.854;36.341;3.354
1,73E+12;2024-09-28T16.29.37.007;2.600;0.417;0.135;-0.938;2.073;57.317;5.000
